NAME	{Reduction in duration}	{Reduction in quality}	Devoicing	Deletion
S	  28.5714285714286	14.2857142857143	28.5714285714286	28.5714285714286
MC	  16.6666666666667	50	25	75
C	  26.6666666666667	73.3333333333333	26.6666666666667	46.6666666666667
HC	  20	60	33.3333333333333	60
