NAME	{Contrastive length for all VQs}	{Contrastive length for some VQs}
Simple	100	0
{Moderately Complex}	35.7142857142857	64.2857142857143
Complex	57.1428571428571	42.8571428571429
{Highly Complex}	54.5454545454546	45.4545454545455
