NAME	{Obstruent voicing}	Spirantization	{C > glide or vowel}	Debuccalization
S	20.8333333333333	16.6666666666667	8.33333333333333	8.33333333333333
MC	30.7692307692308	26.9230769230769	23.0769230769231	11.5384615384615
C	48	44	24	4
HC	32	32	16	4
