NAME	None	{1 place represented}	{2 places represented}	{3 places represented}
Simple	29.1666666666667	45.8333333333333	16.6666666666667	8.33333333333333
{Moderately Complex}	23.0769230769231	61.5384615384615	15.3846153846154	0
Complex	20	76	4	0
{Highly Complex}	8	68	20	4
