NAME	{Vowel reduction}	{Unstressed C processes}	{Stressed C processes}
S	38.8888888888889	38.8888888888889	44.4444444444444
MC	68.421052631579	21.0526315789474	31.5789473684211
C	71.4285714285714	38.0952380952381	42.8571428571429
HC	66.6666666666667	14.2857142857143	23.8095238095238
