NAME	{HC-associated articulations}	Fortition	{Other assimilation}
S	33.3333333333333	23.1884057971014	15.9420289855072
MC	16.8831168831169	25.974025974026	12.987012987013
C	16.6666666666667	20.2380952380952	13.0952380952381
HC	22.4137931034483	18.9655172413793	12.0689655172414
