NAME	{Only morphologically complex}	{Both patterns}	{Only morpheme-internal}
{Moderately Complex}	0	12.5	87.5
{Complex}	15	15	70
{Highly Complex}	47.6190476190476	9.52380952380952	42.8571428571429
