NAME	{Reduction in quality}	Deletion	{Reduction in duration}	Devoicing
S	16.6666666666667	37.5	12.5	33.3333333333333
MC	34.6938775510204	40.8163265306122	14.2857142857143	14.2857142857143
C	45.8333333333333	27.0833333333333	18.75	14.5833333333333
HC	36.8421052631579	38.5964912280702	21.0526315789474	15.7894736842105
