NAME	Stress	Consonantal	{Word position}	{Phrase/utterance position}
S	41.6666666666667	41.6666666666667	58.3333333333333	16.6666666666667
MC	57.1428571428571	42.8571428571429	55.1020408163265	10.2040816326531
C	72.9166666666667	45.8333333333333	33.3333333333333	10.4166666666667
HC	70.1754385964912	47.3684210526316	21.0526315789474	10.5263157894737
